doc_id,raw_text,tokenized_text
001-102-014,"The skeleton dimensions I shall now proceed to set down are copied verbatim from my right arm, where I had them tattooed; as in my wild wanderings at that period, there was no other secure way of preserving such valuable statistics. But as I was crowded for space, and wished the other parts of my body to remain a blank page for a poem I was then composing—at least, what untattooed parts might remain—I did not trouble myself with the odd inches; nor, indeed, should inches at all enter into a congenial admeasurement of the whale.",the skeleton dimensions i shall now proceed to set down are copied verbatim from my right arm where i had them tattooed as in my wild wanderings at that period there was no other secure way of preserving such valuable statistics but as i was crowded for space and wished the other parts of my body to remain a blank page for a poem i was then composing at least what untattooed parts might remain i did not trouble myself with the odd inches nor indeed should inches at all enter into a congenial admeasurement of the whale
001-100-021,"The professional gentleman thus familiarly pointed out, had been all the time standing near them, with nothing specific visible, to denote his gentlemanly rank on board. His face was an exceedingly round but sober one; he was dressed in a faded blue woollen frock or shirt, and patched trowsers; and had thus far been dividing his attention between a marlingspike he held in one hand, and a pill-box held in the other, occasionally casting a critical glance at the ivory limbs of the two crippled captains. But, at his superior’s introduction of him to Ahab, he politely bowed, and straightway went on to do his captain’s bidding.",the professional gentleman thus familiarly pointed out had been all the time standing near them with nothing specific visible to denote his gentlemanly rank on board his face was an exceedingly round but sober one he was dressed in a faded blue woollen frock or shirt and patched trowsers and had thus far been dividing his attention between a marlingspike he held in one hand and a pill box held in the other occasionally casting a critical glance at the ivory limbs of the two crippled captains but at his superior s introduction of him to ahab he politely bowed and straightway went on to do his captain s bidding
002-015-032,"“Nancy!” exclaimed Sikes. “Where? Strike me blind, if I don’t honour that ’ere girl, for her native talents.”",nancy exclaimed sikes where strike me blind if i don t honour that ere girl for her native talents
002-025-030,"“Perhaps I was,” rejoined Tom, looking round; “and if I was, what’s to laugh at, in that; eh, Fagin?”",perhaps i was rejoined tom looking round and if i was what s to laugh at in that eh fagin
000-042-014,"“My love, should not you like to see a place of which you have heard so much?” said her aunt. “A place, too, with which so many of your acquaintance are connected. Wickham passed all his youth there, you know.”",my love should not you like to see a place of which you have heard so much said her aunt a place too with which so many of your acquaintance are connected wickham passed all his youth there you know
002-047-047,"“Again. Tell it again!” cried Fagin, tightening his grasp on Sikes, and brandishing his other hand aloft, as the foam flew from his lips.",again tell it again cried fagin tightening his grasp on sikes and brandishing his other hand aloft as the foam flew from his lips
002-032-055,"Sending the plate, which had so excited Fagin’s cupidity, to the banker’s; and leaving Giles and another servant in care of the house, they departed to a cottage at some distance in the country, and took Oliver with them.",sending the plate which had so excited fagin s cupidity to the banker s and leaving giles and another servant in care of the house they departed to a cottage at some distance in the country and took oliver with them
001-073-043,"Meantime, Fedallah was calmly eyeing the right whale’s head, and ever and anon glancing from the deep wrinkles there to the lines in his own hand. And Ahab chanced so to stand, that the Parsee occupied his shadow; while, if the Parsee’s shadow was there at all it seemed only to blend with, and lengthen Ahab’s. As the crew toiled on, Laplandish speculations were bandied among them, concerning all these passing things.",meantime fedallah was calmly eyeing the right whale s head and ever and anon glancing from the deep wrinkles there to the lines in his own hand and ahab chanced so to stand that the parsee occupied his shadow while if the parsee s shadow was there at all it seemed only to blend with and lengthen ahab s as the crew toiled on laplandish speculations were bandied among them concerning all these passing things
002-033-059,"When he reached home Mrs. Maylie was sitting in the little parlour. Oliver’s heart sank at sight of her; for she had never left the bedside of her niece; and he trembled to think what change could have driven her away. He learnt that she had fallen into a deep sleep, from which she would waken, either to recovery and life, or to bid them farewell, and die.",when he reached home mrs maylie was sitting in the little parlour oliver s heart sank at sight of her for she had never left the bedside of her niece and he trembled to think what change could have driven her away he learnt that she had fallen into a deep sleep from which she would waken either to recovery and life or to bid them farewell and die
000-058-034,"He then told her of Georgiana’s delight in her acquaintance, and of her disappointment at its sudden interruption; which naturally leading to the cause of that interruption, she soon learnt that his resolution of following her from Derbyshire in quest of her sister had been formed before he quitted the inn, and that his gravity and thoughtfulness there had arisen from no other struggles than what such a purpose must comprehend.",he then told her of georgiana s delight in her acquaintance and of her disappointment at its sudden interruption which naturally leading to the cause of that interruption she soon learnt that his resolution of following her from derbyshire in quest of her sister had been formed before he quitted the inn and that his gravity and thoughtfulness there had arisen from no other struggles than what such a purpose must comprehend
002-026-074,"Fagin looked as if he could have willingly excused himself from taking home a visitor at that unseasonable hour; and, indeed, muttered something about having no fire; but his companion repeating his request in a peremptory manner, he unlocked the door, and requested him to close it softly, while he got a light.",fagin looked as if he could have willingly excused himself from taking home a visitor at that unseasonable hour and indeed muttered something about having no fire but his companion repeating his request in a peremptory manner he unlocked the door and requested him to close it softly while he got a light
001-074-002,"Of the grand order of folio leviathans, the Sperm Whale and the Right Whale are by far the most noteworthy. They are the only whales regularly hunted by man. To the Nantucketer, they present the two extremes of all the known varieties of the whale. As the external difference between them is mainly observable in their heads; and as a head of each is this moment hanging from the Pequod’s side; and as we may freely go from one to the other, by merely stepping across the deck:—where, I should like to know, will you obtain a better chance to study practical cetology than here?",of the grand order of folio leviathans the sperm whale and the right whale are by far the most noteworthy they are the only whales regularly hunted by man to the nantucketer they present the two extremes of all the known varieties of the whale as the external difference between them is mainly observable in their heads and as a head of each is this moment hanging from the pequod s side and as we may freely go from one to the other by merely stepping across the deck where i should like to know will you obtain a better chance to study practical cetology than here
002-009-057,"Oliver wondered what picking the old gentleman’s pocket in play, had to do with his chances of being a great man. But, thinking that the Jew, being so much his senior, must know best, he followed him quietly to the table, and was soon deeply involved in his new study.",oliver wondered what picking the old gentleman s pocket in play had to do with his chances of being a great man but thinking that the jew being so much his senior must know best he followed him quietly to the table and was soon deeply involved in his new study
001-075-011,"Can you catch the expression of the Sperm Whale’s there? It is the same he died with, only some of the longer wrinkles in the forehead seem now faded away. I think his broad brow to be full of a prairie-like placidity, born of a speculative indifference as to death. But mark the other head’s expression. See that amazing lower lip, pressed by accident against the vessel’s side, so as firmly to embrace the jaw. Does not this whole head seem to speak of an enormous practical resolution in facing death? This Right Whale I take to have been a Stoic; the Sperm Whale, a Platonian, who might have taken up Spinoza in his latter years.",can you catch the expression of the sperm whale s there it is the same he died with only some of the longer wrinkles in the forehead seem now faded away i think his broad brow to be full of a prairie like placidity born of a speculative indifference as to death but mark the other head s expression see that amazing lower lip pressed by accident against the vessel s side so as firmly to embrace the jaw does not this whole head seem to speak of an enormous practical resolution in facing death this right whale i take to have been a stoic the sperm whale a platonian who might have taken up spinoza in his latter years
002-036-002,"“And so you are resolved to be my travelling companion this morning; eh?” said the doctor, as Harry Maylie joined him and Oliver at the breakfast-table. “Why, you are not in the same mind or intention two half-hours together!”",and so you are resolved to be my travelling companion this morning eh said the doctor as harry maylie joined him and oliver at the breakfast table why you are not in the same mind or intention two half hours together
002-049-066,"“Remain quietly here, until such a document is drawn up, and proceed with me to such a place as I may deem most advisable, for the purpose of attesting it?”",remain quietly here until such a document is drawn up and proceed with me to such a place as i may deem most advisable for the purpose of attesting it
002-041-013,"“Getting out of a coach,” replied Oliver, shedding tears of delight, “and going into a house. I didn’t speak to him—I couldn’t speak to him, for he didn’t see me, and I trembled so, that I was not able to go up to him. But Giles asked, for me, whether he lived there, and they said he did. Look here,” said Oliver, opening a scrap of paper, “here it is; here’s where he lives—I’m going there directly! Oh, dear me, dear me! What shall I do when I come to see him and hear him speak again!”",getting out of a coach replied oliver shedding tears of delight and going into a house i didn t speak to him i couldn t speak to him for he didn t see me and i trembled so that i was not able to go up to him but giles asked for me whether he lived there and they said he did look here said oliver opening a scrap of paper here it is here s where he lives i m going there directly oh dear me dear me what shall i do when i come to see him and hear him speak again
002-041-071,"Although Mr. Losberne received with many wry faces a proposal involving a delay of five whole days, he was fain to admit that no better course occurred to him just then; and as both Rose and Mrs. Maylie sided very strongly with Mr. Brownlow, that gentleman’s proposition was carried unanimously.",although mr losberne received with many wry faces a proposal involving a delay of five whole days he was fain to admit that no better course occurred to him just then and as both rose and mrs maylie sided very strongly with mr brownlow that gentleman s proposition was carried unanimously
000-054-020,“A man who has once been refused! How could I ever be foolish enough to expect a renewal of his love? Is there one among the sex who would not protest against such a weakness as a second proposal to the same woman? There is no indignity so abhorrent to their feelings.”,a man who has once been refused how could i ever be foolish enough to expect a renewal of his love is there one among the sex who would not protest against such a weakness as a second proposal to the same woman there is no indignity so abhorrent to their feelings
001-041-010,"One of the wild suggestions referred to, as at last coming to be linked with the White Whale in the minds of the superstitiously inclined, was the unearthly conceit that Moby Dick was ubiquitous; that he had actually been encountered in opposite latitudes at one and the same instant of time.",one of the wild suggestions referred to as at last coming to be linked with the white whale in the minds of the superstitiously inclined was the unearthly conceit that moby dick was ubiquitous that he had actually been encountered in opposite latitudes at one and the same instant of time
000-050-010,"Her husband allowed her to talk on without interruption while the servants remained. But when they had withdrawn, he said to her, “Mrs. Bennet, before you take any, or all of these houses, for your son and daughter, let us come to a right understanding. Into _one_ house in this neighbourhood they shall never have admittance. I will not encourage the imprudence of either, by receiving them at Longbourn.”",her husband allowed her to talk on without interruption while the servants remained but when they had withdrawn he said to her mrs bennet before you take any or all of these houses for your son and daughter let us come to a right understanding into one house in this neighbourhood they shall never have admittance i will not encourage the imprudence of either by receiving them at longbourn
001-040-009,"DUTCH SAILOR. Grand snoozing to-night, maty; fat night for that. I mark this in our old Mogul’s wine; it’s quite as deadening to some as filliping to others. We sing; they sleep—aye, lie down there, like ground-tier butts. At ’em again! There, take this copper-pump, and hail ’em through it. Tell ’em to avast dreaming of their lasses. Tell ’em it’s the resurrection; they must kiss their last, and come to judgment. That’s the way—_that’s_ it; thy throat ain’t spoiled with eating Amsterdam butter.",dutch sailor grand snoozing to night maty fat night for that i mark this in our old mogul s wine it s quite as deadening to some as filliping to others we sing they sleep aye lie down there like ground tier butts at em again there take this copper pump and hail em through it tell em to avast dreaming of their lasses tell em it s the resurrection they must kiss their last and come to judgment that s the way that s it thy throat ain t spoiled with eating amsterdam butter
002-019-028,"“Hush, Bill, hush!” said the Jew, who had in vain attempted to stop this burst of indignation; “somebody will hear us, my dear. Somebody will hear us.”",hush bill hush said the jew who had in vain attempted to stop this burst of indignation somebody will hear us my dear somebody will hear us
001-113-027,"Now, mustering the spare poles from below, and selecting one of hickory, with the bark still investing it, Ahab fitted the end to the socket of the iron. A coil of new tow-line was then unwound, and some fathoms of it taken to the windlass, and stretched to a great tension. Pressing his foot upon it, till the rope hummed like a harp-string, then eagerly bending over it, and seeing no strandings, Ahab exclaimed, “Good! and now for the seizings.”",now mustering the spare poles from below and selecting one of hickory with the bark still investing it ahab fitted the end to the socket of the iron a coil of new tow line was then unwound and some fathoms of it taken to the windlass and stretched to a great tension pressing his foot upon it till the rope hummed like a harp string then eagerly bending over it and seeing no strandings ahab exclaimed good and now for the seizings
002-044-063,"These things passed through the mind of Fagin, during the short time he sat alone, in the housebreaker’s room; and with them uppermost in his thoughts, he had taken the opportunity afterwards afforded him, of sounding the girl in the broken hints he threw out at parting. There was no expression of surprise, no assumption of an inability to understand his meaning. The girl clearly comprehended it. Her glance at parting showed _that_.",these things passed through the mind of fagin during the short time he sat alone in the housebreaker s room and with them uppermost in his thoughts he had taken the opportunity afterwards afforded him of sounding the girl in the broken hints he threw out at parting there was no expression of surprise no assumption of an inability to understand his meaning the girl clearly comprehended it her glance at parting showed that
000-057-013,“You look conscious. Young ladies have great penetration in such matters as these; but I think I may defy even _your_ sagacity to discover the name of your admirer. This letter is from Mr. Collins.”,you look conscious young ladies have great penetration in such matters as these but i think i may defy even your sagacity to discover the name of your admirer this letter is from mr collins
002-041-045,"In fact, as he threw himself at one dexterous dive into his former seat, Mr. Brownlow returned, accompanied by Oliver, whom Mr. Grimwig received very graciously; and if the gratification of that moment had been the only reward for all her anxiety and care in Oliver’s behalf, Rose Maylie would have been well repaid.",in fact as he threw himself at one dexterous dive into his former seat mr brownlow returned accompanied by oliver whom mr grimwig received very graciously and if the gratification of that moment had been the only reward for all her anxiety and care in oliver s behalf rose maylie would have been well repaid
002-040-038,"“Lady,” cried the girl, sinking on her knees, “dear, sweet, angel lady, you _are_ the first that ever blessed me with such words as these, and if I had heard them years ago, they might have turned me from a life of sin and sorrow; but it is too late, it is too late!”",lady cried the girl sinking on her knees dear sweet angel lady you are the first that ever blessed me with such words as these and if i had heard them years ago they might have turned me from a life of sin and sorrow but it is too late it is too late
002-032-052,"“My poor boy, this is disappointment enough for one day,” said the doctor. “Quite enough for both of us. If we go to the book-stall keeper’s, we shall certainly find that he is dead, or has set his house on fire, or run away. No; home again straight!” And in obedience to the doctor’s impulse, home they went.",my poor boy this is disappointment enough for one day said the doctor quite enough for both of us if we go to the book stall keeper s we shall certainly find that he is dead or has set his house on fire or run away no home again straight and in obedience to the doctor s impulse home they went
001-135-060,"For an instant, the tranced boat’s crew stood still; then turned. “The ship? Great God, where is the ship?” Soon they through dim, bewildering mediums saw her sidelong fading phantom, as in the gaseous Fata Morgana; only the uppermost masts out of water; while fixed by infatuation, or fidelity, or fate, to their once lofty perches, the pagan harpooneers still maintained their sinking lookouts on the sea. And now, concentric circles seized the lone boat itself, and all its crew, and each floating oar, and every lance-pole, and spinning, animate and inanimate, all round and round in one vortex, carried the smallest chip of the Pequod out of sight.",for an instant the tranced boat s crew stood still then turned the ship great god where is the ship soon they through dim bewildering mediums saw her sidelong fading phantom as in the gaseous fata morgana only the uppermost masts out of water while fixed by infatuation or fidelity or fate to their once lofty perches the pagan harpooneers still maintained their sinking lookouts on the sea and now concentric circles seized the lone boat itself and all its crew and each floating oar and every lance pole and spinning animate and inanimate all round and round in one vortex carried the smallest chip of the pequod out of sight
000-012-003,The communication excited many professions of concern; and enough was said of wishing them to stay at least till the following day to work on Jane; and till the morrow their going was deferred. Miss Bingley was then sorry that she had proposed the delay; for her jealousy and dislike of one sister much exceeded her affection for the other.,the communication excited many professions of concern and enough was said of wishing them to stay at least till the following day to work on jane and till the morrow their going was deferred miss bingley was then sorry that she had proposed the delay for her jealousy and dislike of one sister much exceeded her affection for the other
002-025-033,"The bell was rung again, with some impatience, while the party were in darkness. After a short pause, the Dodger reappeared, and whispered Fagin mysteriously.",the bell was rung again with some impatience while the party were in darkness after a short pause the dodger reappeared and whispered fagin mysteriously
000-006-026,"Mary had neither genius nor taste; and though vanity had given her application, it had given her likewise a pedantic air and conceited manner, which would have injured a higher degree of excellence than she had reached. Elizabeth, easy and unaffected, had been listened to with much more pleasure, though not playing half so well; and Mary, at the end of a long concerto, was glad to purchase praise and gratitude by Scotch and Irish airs, at the request of her younger sisters, who with some of the Lucases, and two or three officers, joined eagerly in dancing at one end of the room.",mary had neither genius nor taste and though vanity had given her application it had given her likewise a pedantic air and conceited manner which would have injured a higher degree of excellence than she had reached elizabeth easy and unaffected had been listened to with much more pleasure though not playing half so well and mary at the end of a long concerto was glad to purchase praise and gratitude by scotch and irish airs at the request of her younger sisters who with some of the lucases and two or three officers joined eagerly in dancing at one end of the room
000-007-039,"Elizabeth, feeling really anxious, determined to go to her, though the carriage was not to be had: and as she was no horsewoman, walking was her only alternative. She declared her resolution.",elizabeth feeling really anxious determined to go to her though the carriage was not to be had and as she was no horsewoman walking was her only alternative she declared her resolution
000-047-038,"“Do not give way to useless alarm,” added he: “though it is right to be prepared for the worst, there is no occasion to look on it as certain. It is not quite a week since they left Brighton. In a few days more, we may gain some news of them; and till we know that they are not married, and have no design of marrying, do not let us give the matter over as lost. As soon as I get to town, I shall go to my brother, and make him come home with me to Gracechurch Street, and then we may consult together as to what is to be done.”",do not give way to useless alarm added he though it is right to be prepared for the worst there is no occasion to look on it as certain it is not quite a week since they left brighton in a few days more we may gain some news of them and till we know that they are not married and have no design of marrying do not let us give the matter over as lost as soon as i get to town i shall go to my brother and make him come home with me to gracechurch street and then we may consult together as to what is to be done
001-022-015,"Never did those sweet words sound more sweetly to me than then. They were full of hope and fruition. Spite of this frigid winter night in the boisterous Atlantic, spite of my wet feet and wetter jacket, there was yet, it then seemed to me, many a pleasant haven in store; and meads and glades so eternally vernal, that the grass shot up by the spring, untrodden, unwilted, remains at midsummer.",never did those sweet words sound more sweetly to me than then they were full of hope and fruition spite of this frigid winter night in the boisterous atlantic spite of my wet feet and wetter jacket there was yet it then seemed to me many a pleasant haven in store and meads and glades so eternally vernal that the grass shot up by the spring untrodden unwilted remains at midsummer
002-013-029,"There was a long pause. Every member of the respectable coterie appeared plunged in his own reflections; not excepting the dog, who by a certain malicious licking of his lips seemed to be meditating an attack upon the legs of the first gentleman or lady he might encounter in the streets when he went out.",there was a long pause every member of the respectable coterie appeared plunged in his own reflections not excepting the dog who by a certain malicious licking of his lips seemed to be meditating an attack upon the legs of the first gentleman or lady he might encounter in the streets when he went out
002-019-019,"With a hoarse grunt of contempt, Mr. Sikes seized the glass, and threw the remainder of its contents into the ashes: as a preparatory ceremony to filling it again for himself: which he did at once.",with a hoarse grunt of contempt mr sikes seized the glass and threw the remainder of its contents into the ashes as a preparatory ceremony to filling it again for himself which he did at once
000-034-022,"“And of your infliction,” cried Elizabeth, with energy; “You have reduced him to his present state of poverty--comparative poverty. You have withheld the advantages which you must know to have been designed for him. You have deprived the best years of his life of that independence which was no less his due than his desert. You have done all this! and yet you can treat the mention of his misfortunes with contempt and ridicule.”",and of your infliction cried elizabeth with energy you have reduced him to his present state of poverty comparative poverty you have withheld the advantages which you must know to have been designed for him you have deprived the best years of his life of that independence which was no less his due than his desert you have done all this and yet you can treat the mention of his misfortunes with contempt and ridicule
002-012-059,"This sounded so like a falsehood, that the old gentleman looked somewhat sternly in Oliver’s face. It was impossible to doubt him; there was truth in every one of its thin and sharpened lineaments.",this sounded so like a falsehood that the old gentleman looked somewhat sternly in oliver s face it was impossible to doubt him there was truth in every one of its thin and sharpened lineaments
002-011-017,"Mr. Fang was a lean, long-backed, stiff-necked, middle-sized man, with no great quantity of hair, and what he had, growing on the back and sides of his head. His face was stern, and much flushed. If he were really not in the habit of drinking rather more than was exactly good for him, he might have brought action against his countenance for libel, and have recovered heavy damages.",mr fang was a lean long backed stiff necked middle sized man with no great quantity of hair and what he had growing on the back and sides of his head his face was stern and much flushed if he were really not in the habit of drinking rather more than was exactly good for him he might have brought action against his countenance for libel and have recovered heavy damages
002-006-035,"Noah stopped to make no reply, but started off at his fullest speed; and very much it astonished the people who were out walking, to see a charity-boy tearing through the streets pell-mell, with no cap on his head, and a clasp-knife at his eye.",noah stopped to make no reply but started off at his fullest speed and very much it astonished the people who were out walking to see a charity boy tearing through the streets pell mell with no cap on his head and a clasp knife at his eye
001-088-007,"Now, as the harem of whales is called by the fishermen a school, so is the lord and master of that school technically known as the schoolmaster. It is therefore not in strict character, however admirably satirical, that after going to school himself, he should then go abroad inculcating not what he learned there, but the folly of it. His title, schoolmaster, would very naturally seem derived from the name bestowed upon the harem itself, but some have surmised that the man who first thus entitled this sort of Ottoman whale, must have read the memoirs of Vidocq, and informed himself what sort of a country-schoolmaster that famous Frenchman was in his younger days, and what was the nature of those occult lessons he inculcated into some of his pupils.",now as the harem of whales is called by the fishermen a school so is the lord and master of that school technically known as the schoolmaster it is therefore not in strict character however admirably satirical that after going to school himself he should then go abroad inculcating not what he learned there but the folly of it his title schoolmaster would very naturally seem derived from the name bestowed upon the harem itself but some have surmised that the man who first thus entitled this sort of ottoman whale must have read the memoirs of vidocq and informed himself what sort of a country schoolmaster that famous frenchman was in his younger days and what was the nature of those occult lessons he inculcated into some of his pupils
002-010-024,"Stopped at last! A clever blow. He is down upon the pavement; and the crowd eagerly gather round him: each new comer, jostling and struggling with the others to catch a glimpse. “Stand aside!” “Give him a little air!” “Nonsense! he don’t deserve it.” “Where’s the gentleman?” “Here he is, coming down the street.” “Make room there for the gentleman!” “Is this the boy, sir!” “Yes.”",stopped at last a clever blow he is down upon the pavement and the crowd eagerly gather round him each new comer jostling and struggling with the others to catch a glimpse stand aside give him a little air nonsense he don t deserve it where s the gentleman here he is coming down the street make room there for the gentleman is this the boy sir yes
001-103-006,"To me this vast ivory-ribbed chest, with the long, unrelieved spine, extending far away from it in a straight line, not a little resembled the hull of a great ship new-laid upon the stocks, when only some twenty of her naked bow-ribs are inserted, and the keel is otherwise, for the time, but a long, disconnected timber.",to me this vast ivory ribbed chest with the long unrelieved spine extending far away from it in a straight line not a little resembled the hull of a great ship new laid upon the stocks when only some twenty of her naked bow ribs are inserted and the keel is otherwise for the time but a long disconnected timber
001-022-013,"Lank Bildad, as pilot, headed the first watch, and ever and anon, as the old craft deep dived into the green seas, and sent the shivering frost all over her, and the winds howled, and the cordage rang, his steady notes were heard,—",lank bildad as pilot headed the first watch and ever and anon as the old craft deep dived into the green seas and sent the shivering frost all over her and the winds howled and the cordage rang his steady notes were heard
000-007-037,"“Well, my dear,” said Mr. Bennet, when Elizabeth had read the note aloud, “if your daughter should have a dangerous fit of illness--if she should die--it would be a comfort to know that it was all in pursuit of Mr. Bingley, and under your orders.”",well my dear said mr bennet when elizabeth had read the note aloud if your daughter should have a dangerous fit of illness if she should die it would be a comfort to know that it was all in pursuit of mr bingley and under your orders
002-032-010,"“To the kind gentleman, and the dear old nurse, who took so much care of me before,” rejoined Oliver. “If they knew how happy I am, they would be pleased, I am sure.”",to the kind gentleman and the dear old nurse who took so much care of me before rejoined oliver if they knew how happy i am they would be pleased i am sure
001-057-009,"In bony, ribby regions of the earth, where at the base of high broken cliffs masses of rock lie strewn in fantastic groupings upon the plain, you will often discover images as of the petrified forms of the Leviathan partly merged in grass, which of a windy day breaks against them in a surf of green surges.",in bony ribby regions of the earth where at the base of high broken cliffs masses of rock lie strewn in fantastic groupings upon the plain you will often discover images as of the petrified forms of the leviathan partly merged in grass which of a windy day breaks against them in a surf of green surges
000-018-022,"“He has been so unlucky as to lose your friendship,” replied Elizabeth, with emphasis, “and in a manner which he is likely to suffer from all his life.”",he has been so unlucky as to lose your friendship replied elizabeth with emphasis and in a manner which he is likely to suffer from all his life
002-012-040,"“Why, really, my dear, I don’t know,” answered the old lady in a good-humoured manner. “It’s not a likeness of anybody that you or I know, I expect. It seems to strike your fancy, dear.”",why really my dear i don t know answered the old lady in a good humoured manner it s not a likeness of anybody that you or i know i expect it seems to strike your fancy dear
001-102-010,"Now, when with royal Tranquo I visited this wondrous whale, and saw the skull an altar, and the artificial smoke ascending from where the real jet had issued, I marvelled that the king should regard a chapel as an object of vertu. He laughed. But more I marvelled that the priests should swear that smoky jet of his was genuine. To and fro I paced before this skeleton—brushed the vines aside—broke through the ribs—and with a ball of Arsacidean twine, wandered, eddied long amid its many winding, shaded colonnades and arbours. But soon my line was out; and following it back, I emerged from the opening where I entered. I saw no living thing within; naught was there but bones.",now when with royal tranquo i visited this wondrous whale and saw the skull an altar and the artificial smoke ascending from where the real jet had issued i marvelled that the king should regard a chapel as an object of vertu he laughed but more i marvelled that the priests should swear that smoky jet of his was genuine to and fro i paced before this skeleton brushed the vines aside broke through the ribs and with a ball of arsacidean twine wandered eddied long amid its many winding shaded colonnades and arbours but soon my line was out and following it back i emerged from the opening where i entered i saw no living thing within naught was there but bones
000-002-026,"“What an excellent father you have, girls,” said she, when the door was shut. “I do not know how you will ever make him amends for his kindness; or me either, for that matter. At our time of life, it is not so pleasant, I can tell you, to be making new acquaintances every day; but for your sakes we would do anything. Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.”",what an excellent father you have girls said she when the door was shut i do not know how you will ever make him amends for his kindness or me either for that matter at our time of life it is not so pleasant i can tell you to be making new acquaintances every day but for your sakes we would do anything lydia my love though you are the youngest i dare say mr bingley will dance with you at the next ball
